Departure Date,Price,Airline
2017-03-05,256.20,VX
2017-03-06,256.20,VX
2017-03-06,256.20,VX
2017-03-07,256.20,VX
2017-03-07,256.20,VX
2017-03-08,256.20,VX
2017-03-08,277.20,VX
2017-03-09,277.20,VX
2017-03-09,305.20,VX
2017-03-10,330.20,B6
2017-03-10,379.20,B6
2017-03-11,261.20,B6
2017-03-11,261.20,B6
2017-03-12,261.20,B6
2017-03-12,261.20,B6
2017-03-13,261.20,B6
2017-03-13,310.20,B6
2017-03-14,310.20,B6
2017-03-14,310.20,B6
2017-03-15,415.20,B6
2017-03-15,476.70,AA
2017-03-16,519.20,B6
2017-03-16,552.20,B6
2017-03-17,354.20,B6
2017-03-17,491.20,B6
2017-03-18,282.20,B6
2017-03-18,326.20,B6
2017-03-19,310.20,B6
2017-03-19,326.20,B6
2017-03-20,266.20,B6
2017-03-20,266.20,DL
2017-03-21,266.20,B6
2017-03-21,266.20,B6
2017-03-22,282.20,B6
2017-03-22,282.20,B6
2017-03-23,371.20,B6
2017-03-23,519.20,B6
2017-03-24,335.20,B6
2017-03-24,483.20,B6
2017-03-25,266.20,B6
2017-03-25,266.20,B6
2017-03-26,266.20,B6
2017-03-26,314.61,B6
2017-03-27,266.20,DL
2017-03-27,274.70,DL
2017-03-28,274.70,DL
2017-03-28,310.20,B6
2017-03-29,266.20,B6
2017-03-29,310.20,B6
2017-03-30,266.20,B6
2017-03-30,440.70,B6
2017-03-31,305.20,B6
2017-03-31,484.70,B6
2017-04-01,261.20,B6
2017-04-01,261.20,B6
2017-04-02,261.20,B6
2017-04-02,261.20,B6
2017-04-03,261.20,B6
2017-04-03,261.20,B6
2017-04-04,261.20,UA
2017-04-04,310.20,UA
2017-04-05,319.70,DL
2017-04-05,378.70,VX
2017-04-06,404.20,B6
2017-04-06,404.20,B6
2017-04-07,435.70,DL
2017-04-07,482.70,VX
2017-04-08,337.20,UA
2017-04-08,381.20,UA
2017-04-09,329.20,DL
2017-04-09,329.20,DL
2017-04-10,290.70,DL
2017-04-10,326.70,DL
2017-04-11,319.20,DL
2017-04-11,371.20,UA
2017-04-12,387.20,B6
2017-04-12,394.70,B6
2017-04-13,447.70,B6
2017-04-13,474.70,B6
2017-04-14,435.70,DL
2017-04-14,474.70,B6
2017-04-15,351.20,B6
2017-04-15,456.70,B6
2017-04-16,310.20,B6
2017-04-16,319.70,DL
2017-04-17,266.20,B6
2017-04-17,266.20,B6
2017-04-18,266.20,B6
2017-04-18,283.20,DL
2017-04-19,290.70,DL
2017-04-19,335.20,B6
2017-04-20,335.20,B6
2017-04-20,405.70,B6
2017-04-21,310.20,B6
2017-04-21,405.70,B6
2017-04-22,261.20,B6
2017-04-22,310.20,B6
2017-04-23,261.20,B6
2017-04-23,261.20,B6
2017-04-24,275.20,DL
2017-04-24,298.20,DL
2017-04-25,256.20,VX
2017-04-25,256.20,VX
2017-04-26,256.20,VX
2017-04-26,277.20,VX
2017-04-27,307.20,VX
2017-04-27,335.20,VX
2017-04-28,266.20,B6
2017-04-28,310.20,B6
2017-04-29,261.20,B6
2017-04-29,266.20,B6
2017-04-30,261.20,B6
2017-04-30,261.20,B6
2017-05-01,261.20,B6
2017-05-01,261.20,B6
2017-05-02,256.20,VX
2017-05-02,256.20,VX
2017-05-03,261.20,B6
2017-05-03,261.20,B6
2017-05-04,305.20,B6
2017-05-04,310.20,B6
2017-05-05,266.20,B6
2017-05-05,266.20,B6
2017-05-06,256.20,VX
2017-05-06,261.20,VX
2017-05-07,261.20,B6
2017-05-07,261.20,B6
2017-05-08,256.20,VX
2017-05-08,256.20,VX
2017-05-09,261.20,B6
2017-05-09,266.20,B6
2017-05-10,261.20,VX
2017-05-10,261.20,VX
2017-05-11,266.20,B6
2017-05-11,310.20,B6
